ISO Currency code Numeric,Country,Currency,ISO Currency Code Alpha
4,Afghanistan,Afghani,AFA
8,Albania,Lek,ALL
12,Algeria,Algerian Dinar,DZD
840,American Samoa,US Dollar,USD
724,Andorra,Spanish Peseta,ESP
250,,French Franc,FRF
20,,Andorran Peseta,ADP
24,Angola,New Kwanza,AON
982,,Kwanza Reajustado,AOR
951,Anguilla,East Caribbean Dollar,XCD
951,Antigua and Barbuda,East Caribbean Dollar,XCD
32,Argentina,Argentine Peso,ARS
51,Armenia,Armenian Dram,AMD
533,Aruba,Aruban Guilder,AWG
36,Australia,Australian Dollar,AUD
40,Austria,Schilling,ATS
31,Azerbaijan,Azerbaijanian Manat,AZM
44,Bahamas,Bahamian Dollar,BSD
48,Bahrain,Bahraini Dinar,BHD
50,Bangladesh,Taka,BDT
52,Barbados,Barbados Dollar,BBD
974,Belarus,Belarussian Ruble,BYR
56,Belgium,Belgian Franc,BEF
84,Belize,Belize Dollar,BZD
952,Benin,CFA Franc BCEAO,XOF
60,Bermuda,Bermudian Dollar,BMD
356,Bhutan,Indian Rupee,INR
64,,Ngultrum,BTN
977,Bosnia and Herzegovina,Convertible Marks,BAM
72,Botswana,Pula,BWP
578,Bouvet Island,Norwegian Krone,NOK
986,Brazil,Brazilian Real,BRL
840,British Indian Ocean Territory,US Dollar,USD
96,Brunei Darussalam,Brunei Dollar,BND
100,Bulgaria,Lev,BGL
975,,Bulgarian LEV,BGN
952,Burkina Faso,CFA Franc BCEAO,XOF
108,Burundi,Burundi Franc,BIF
116,Cambodia,Riel,KHR
950,Cameroon,CFA Franc BEAC,XAF
124,Canada,Canadian Dollar,CAD
132,Cape Verde,Cape Verde Escudo,CVE
136,Cayman Islands,Cayman Islands Dollar,KYD
950,Central African Republic,CFA Franc BEAC,XAF
950,Chad,CFA Franc BEAC,XAF
152,Chile,Chilean Peso,CLP
990,,Unidades de fomento,CLF
156,China,Yuan Renminbi,CNY
36,Christmas Island,Australian Dollar,AUD
36,Cocos (Keeling) Islands,Australian Dollar,AUD
170,Colombia,Colombian Peso,COP
174,Comoros,Comoro Franc,KMF
950,Congo,CFA Franc BEAC,XAF
976,"Congo, The Democratic Republic Of",Franc Congolais,CDF
554,Cook Islands,New Zealand Dollar,NZD
188,Costa Rica,Costa Rican Colon,CRC
952,Cote D'ivoire,CFA Franc BCEAO,XOF
191,Croatia,Kuna,HRK
192,Cuba,Cuban Peso,CUP
196,Cyprus,Cyprus Pound,CYP
203,Czech Republic,Czech Koruna,CZK
208,Denmark,Danish Krone,DKK
262,Djibouti,Djibouti Franc,DJF
951,Dominica,East Caribbean Dollar,XCD
214,Dominican Republic,Dominican Peso,DOP
626,East Timor,Timor Escudo,TPE
360,,Rupiah,IDR
218,Ecuador,Sucre,ECS
983,,Unidad de Valor Constante (UVC),ECV
818,Egypt,Egyptian Pound,EGP
222,El Salvador,El Salvador Colon,SVC
950,Equatorial Guinea,CFA Franc BEAC,XAF
233,Estonia,Kroon,EEK
232,Eritrea,Nakfa,ERN
230,Ethiopia,Ethiopian Birr,ETB
208,Faeroe Islands,Danish Krone,DKK
238,Falkland Islands (Malvinas),Pound,FKP
242,Fiji,Fiji Dollar,FJD
246,Finland,Markka,FIM
250,France,French Franc,FRF
250,French Guiana,French Franc,FRF
